Site,Name,Lat,Lon,Start,End,Years, %,AWS
6096,DOORAWARRAH O.S.,-25.0167,114.2833,Jan 1929,Nov 1930,1.9,100,  N
10734,DOREENUP,-33.8,117.25,Mar 1924,Dec 1932,8.8,99,  N
9536,DORSET DOWNS,-34.2,116.9833,Jul 1917,Jun 1954,25,68,  N
8056,DOUTHA SPRINGS,-29,115.95,Jan 1928,Jan 1957,27.9,96,  N
10042,DOWERIN,-31.1936,117.0311,Jan 1904,Oct 2017,110.3,94,  N
109508,DOYLE ROAD CB1,-33.744,115.3432,Jul 2006,Nov 2017,11.4,99,  N
12137,DOYLES WELL,-28.5,120.9833,Aug 1914,Sep 1951,20.2,54,  N
10184,DRESDEN,-30.7833,118,Apr 1913,Dec 1919,6.4,95,  N
7074,DROMEDARY HILLS,-29.0167,118.45,Mar 1906,May 1936,26.8,89,  N
8235,DRUMMONDEARNOCH,-28.7036,115.8167,Aug 1968,Jun 1992,23.8,99,  N
9606,DRUMMONDS,-34.3417,115.9892,Jan 1912,Jul 1973,54.3,88,  N
1026,DRYSDALE RIVER STATION,-15.7031,126.3781,Jan 1988,Nov 2017,29.4,97,  N
5002,DUCK CREEK,-22.515,116.5825,Jan 1946,Jun 1998,19.7,37,  N
9929,DUCK LAKE,-35.0042,117.8608,Jul 1983,Jan 1990,4.4,61,  N
8250,DUDAWA,-29.3833,115.7167,Jan 1936,Dec 1937,2,100,  N
9700,DUDINALUP,-33.9,115.8,Jan 1916,Sep 1924,8.8,100,  N
10545,DUDININ,-32.8714,117.9042,Aug 1910,Aug 2008,90.3,90,  N
12138,DUKETON,-27.65,122.3,Mar 1906,Jun 1924,8.1,44,  N
8197,DULA,-30.6,116.6,Dec 1926,Dec 1936,7.8,77,  N
10871,DULBELLING,-32.0667,117.25,Jan 1913,Dec 1915,2.3,78,  N
8198,DULI,-30.6,116.9833,Jan 1910,Nov 1919,9.7,97,  N
10546,DUMBLEYUNG,-33.3139,117.7422,Jan 1910,Nov 2017,106.8,97,  N
10575,DUNA,-32.5,118.0333,Dec 1957,Dec 1969,11.3,94,  N
9701,DUNCANS MILL,-32.7,116.3,Aug 1931,Jun 1943,11,92,  N
12139,DUNDAS,-32.4,121.8,Jan 1896,Sep 1927,16.6,52,  N
10872,DUNELM,-33.1722,118.2475,Sep 1968,Oct 2017,49.1,100,  N
9795,DUNGALLY,-33,116.3,Jan 1914,Dec 1927,8.5,61,  N
2007,DUNHAM RIVER STATION,-16.3167,128.25,Sep 1920,Dec 1970,42.4,84,  N
8046,DUNOLLY,-30.9133,116.8092,Mar 1906,Sep 2016,99.3,90,  N
10547,DURANILLIN,-33.5167,116.8014,Dec 1910,Jun 2016,102.1,96,  N
8045,DURAWAH,-28.55,114.9,Jan 1909,Oct 1961,40.3,76,  N
10548,DURRUNOOK,-33.5,118.2,Aug 1908,May 1950,41.8,99,  N
10888,DWARDA DOWNS,-32.8125,116.6931,Jul 1982,Apr 2017,34.8,100,  N
9538,DWELLINGUP,-32.7103,116.0594,Feb 1934,Nov 2017,83.8,100,  Y
9702,DWELLINGUP RAILWAY,-32.7,116.1,Oct 1915,Feb 1944,26.3,93,  N
10290,DYARD,-30.4025,117.5367,Jan 1983,Sep 1984,1.8,100,  N
10549,DYLIABING,-33.5333,117.9167,Feb 1900,Oct 1973,67.3,91,  N
9775,DYMESBURY PARK,-34.95,117.8833,Jul 1968,Dec 1976,8.5,99,  N
10027,EADINE,-31.7167,116.5167,Feb 1891,Jun 1962,44.4,62,  N
13001,EARAHEEDY,-25.5908,121.5853,Jan 1946,Apr 2000,52.5,94,  N
7198,EAROO,-29.5,118.5,Jun 1929,Oct 1940,8.4,73,  N
10746,EAST HYDEN,-32.3642,119.1986,May 2002,Sep 2003,1.3,75,  N
5053,EAST INTERCOURSE ISLAND,-20.6553,116.6789,Jul 1966,Aug 1997,28.7,92,  N
8179,EAST KONDUT,-30.6583,116.9344,Jan 1947,Oct 2017,67.8,95,  N
9570,EAST NANNUP,-34.0183,115.8339,Aug 1997,Sep 1999,2.1,95,  N
10190,ECCLESTON,-31.4,117.8,Aug 1913,Feb 1936,17.3,77,  N
9787,ECLIPSE ISLAND,-35.1833,117.8833,Aug 1926,Apr 1973,46.6,100,  N
6020,EDAGGEE,-25.36,114.2292,Feb 1915,Sep 2017,98.4,96,  N
7024,EDAH,-28.2731,117.1544,Jan 1937,Jan 2017,68.9,86,  N
10550,EDENHOLME,-33.2658,118.4861,Aug 1923,Feb 2017,85.9,91,  N
12027,EDJUDINA,-29.8119,122.3547,Jan 1900,Oct 2017,104.8,88,  N
7164,EDMUND,-23.7633,116.1206,Jan 1907,Aug 2016,28.8,26,  N
12296,EENUIN,-30.75,119,May 1965,Nov 1978,13.6,100,  N
4014,EGINBAH,-20.85,119.7667,Jan 1930,Jul 1972,27.5,65,  N
10045,EJANDING,-31.0114,117.1336,Jul 1907,Nov 2017,110.3,100,  N
9913,EKAMURRA,-33.6906,115.8439,Mar 1972,Aug 2017,45,98,  N
1023,EL QUESTRO,-16.0086,127.9806,Dec 1967,Nov 2017,31.7,62,  N
8230,ELENA,-30.3817,116.7217,Jan 1943,Mar 2016,73.1,99,  N
9808,ELGIN,-33.5167,115.6167,Jan 1907,Dec 1909,3,100,  N
6079,ELLA VALLA,-25.0881,114.3836,Nov 1907,Sep 2005,45,46,  N
10046,ELLABIN,-31.2,118.1,Jun 1915,Dec 1957,39.2,92,  N
1024,ELLENBRAE,-15.9572,127.0628,Jan 1987,Nov 2017,25.3,80,  N
3008,ELLENDALE,-17.9281,124.8108,Apr 1919,Jul 2016,59.9,61,  N
3106,ELLENDALE MINESITE,-17.5669,124.8411,Oct 2007,Apr 2015,6.9,87,  N
10669,ELLENSFIELD,-34,117.5,May 1908,Aug 1966,58,99,  N
9846,ELROY,-33.695,122.2269,Mar 2001,Dec 2001,0.8,95,  N
9511,ELSFIELD,-32.7,115.95,Sep 1910,Jul 1954,43.3,98,  N
8173,ELSMORNE FARM,-29.0333,115.75,Jan 1950,Jan 1963,13.1,100,  N
10796,ELVERDTON,-33.6333,120.1333,Mar 1964,Dec 1970,6.8,100,  N
2034,ELVIRE,-18.45,127.95,Oct 1962,Feb 1969,4.3,66,  N
10062,ELY PARK,-31.2347,116.8819,Jan 1902,Jun 1990,76.3,86,  N
1014,EMMA GORGE,-15.9083,128.1286,Jan 1998,Apr 2016,15.8,83,  N
6072,EMU CREEK STATION,-23.0314,115.0414,Jul 1898,Nov 2017,77.7,65,  Y
10552,EMU HILL,-32.1,118.3667,Jan 1915,Aug 1952,37.7,100,  N
10049,ENDOMOORE,-30.3333,117.5167,Jul 1948,Jan 1978,28.1,95,  N
8225,ENEABBA,-29.8183,115.2722,May 1964,Mar 2017,50.9,94,  N
8181,ENEABBA POST OFFICE OLD SITE,-29.8,115.35,Jan 1961,Dec 1971,10.2,92,  N
8199,ENEGEE,-28.4,114.8,Aug 1912,Jun 1920,7.8,98,  N
9179,ENEMINGA,-30.7994,115.5467,Nov 1973,Aug 2016,39.9,91,  N
10185,ENGOBLEEN,-30.8,118.2,Apr 1926,Jun 1939,9.9,75,  N
8200,ERADU,-28.6936,115.0408,Aug 1907,Nov 2017,74.6,67,  N
8203,ERADU GREENLANDS,-28.8,115.0167,Jul 1922,Aug 1928,6.2,100,  N
5082,ERAMURRA POOL,-21.0544,116.2575,Jun 1987,Oct 2017,30.1,97,  N
10050,ERIKIN,-31.9333,117.8833,Jan 1929,Dec 1970,24.5,58,  N
9772,ERINAIR,-33.7608,121.2156,Jan 1968,Nov 2017,49.9,100,  N
8227,ERINDOON,-29.8667,115.15,Jun 1951,Nov 1961,4.5,43,  N
12095,ERLISTOUN,-27.9717,122.325,Oct 1906,Aug 1970,41.4,65,  N
7186,ERONG,-25.565,116.6653,Jan 1969,Dec 2002,31.8,93,  N
7161,ERRABIDDY,-25.4628,117.1364,Sep 1936,Jun 2016,48.7,59,  N
7113,ERRIVILLA,-25.3333,117.25,Aug 1893,Nov 1903,5,48,  N
9789,ESPERANCE,-33.83,121.8925,Jul 1969,Nov 2017,48.4,99,  Y
9542,ESPERANCE AERO,-33.6825,121.8275,Mar 1950,Nov 2017,47.9,68,  Y
9819,ESPERANCE AIRSTRIP ROAD,-33.8,121.9333,May 1972,Jan 1974,1.8,98,  N
9631,ESPERANCE DOWNS RESEARCH STN,-33.6031,121.7828,Oct 1951,Nov 2017,66.2,99,  N
9541,ESPERANCE POST OFFICE,-33.85,121.8833,Jan 1896,Aug 1969,62.9,85,  N
5003,ETHEL CREEK,-22.8972,120.1733,Jan 1907,Jul 2015,103.2,95,  N
4013,ETTRICK,-20.5167,119.6667,Aug 1901,May 1964,56.3,90,  N
11003,EUCLA,-31.6797,128.8958,Jan 1878,Nov 2017,105.4,74,  Y
6021,EUDAMULLAH,-24.4508,115.6072,Jul 1928,May 2013,75.8,89,  N
9567,EULIN HOUSE,-33.8,116.7,Nov 1919,Dec 1953,33.3,97,  N
12142,EULINNA,-30.3,122.5,Apr 1923,Jan 1940,14.2,84,  N
10186,EUMALGA,-31.55,116.4,Jan 1902,Jan 1917,7.3,48,  N
8280,EURARDY,-27.5658,114.6733,Aug 1983,Oct 2017,33.4,96,  N
8201,EUROGOBBIE,-29.6,116.7,May 1926,Dec 1932,6.5,97,  N
2058,EUROTO,-18.35,128.4833,Jan 1935,Apr 1940,2.5,47,  N
5004,EXMOUTH GULF,-22.3761,114.1108,Jan 1915,Jan 2014,97.3,98,  N
5051,EXMOUTH TOWN,-21.9303,114.126,Jan 1968,Nov 2017,47.1,94,  N
11019,EYRE,-32.2464,126.3008,Feb 1888,Nov 2017,66.9,51,  N
10079,FAIR VIEW,-31.95,118.5833,Jan 1962,Apr 1963,1.3,99,  N
9749,FAIRBRIDGE,-32.6042,115.9464,Oct 1921,Aug 2010,77.5,85,  N
8047,FAIRFIELD,-29.4714,115.8528,Nov 1919,Aug 2017,82.2,84,  N
3005,FAIRFIELD STATION,-17.5725,125.0675,May 1907,Feb 2012,49.1,46,  N
10243,FAIRFIELDS,-31.4972,117.5894,Jan 1946,Jul 2017,70.6,98,  N
10809,FALCONDALE,-33.2708,118.3572,Jun 2003,Jan 2007,3.3,24,  N
10806,FALCONDALE - EDEOWIE,-33.2706,118.2606,Jan 1933,Feb 2003,70,100,  N
9543,FALNASH,-33.9333,116.3,Jul 1937,Aug 1970,32.8,99,  N
9544,FANNY COVE,-33.8333,121.1667,Jan 1903,Sep 1949,41,88,  N
6107,FAR END PLANTATION,-24.8128,113.7925,Oct 2005,Jan 2009,0.8,23,  N
1031,FARAWAY BAY,-13.96,127.1964,Nov 1996,Nov 2017,19.8,92,  N
9545,FERGUSON,-33.4356,115.8433,Jan 1939,Feb 1999,44.8,74,  N
9912,FERGUSON VALLEY,-33.445,115.8508,Jun 1972,Nov 2017,45.5,100,  N
109507,FERGUSON VALLEY ALERT,-33.444,115.8536,Sep 2005,Nov 2017,11.5,93,  N
9902,FERN RIDGE,-34.8908,117.7094,Oct 1972,Mar 2007,31.7,91,  N
9632,FERNBROOK,-33.2667,115.9833,Sep 1915,Mar 1964,43.3,88,  N
9546,FERNDALE,-33.8167,115.9333,Feb 1903,Mar 1970,46.3,69,  N
8245,FERNLEIGH,-28.3333,114.8667,May 1914,Feb 1919,4.8,99,  N
9949,FERRARIS FARM,-33.4072,116.6242,Jan 1972,May 1986,12.8,89,
7125,FIELDS FIND,-29,117.3,Nov 1898,Oct 1935,19.5,53,  N
12244,FIFTEEN MILE CONDENSER,-32.0333,121.6667,Jan 1907,Mar 1909,2.3,98,  N
10902,FITZGERALD,-33.7781,119.5019,Feb 1989,Jul 2009,20.5,98,  N
3064,FITZROY A.I.M,-18.1667,125.5833,Jan 1970,Dec 1972,3,100,  N
3093,FITZROY CROSSING AERO,-18.1814,125.5619,Aug 1997,Nov 2017,20.3,98,  Y
3006,FITZROY CROSSING COMP.,-18.1919,125.5644,Mar 1893,Jan 2000,96,90,  N
8233,FIVE GUMS,-29.4847,116.0703,Jan 1945,Oct 2017,69.7,95,  N
12143,FLEMING GROVE,-33.5667,121.7667,Jul 1929,May 1937,7.9,100,  N
2048,FLORA VALLEY,-18.2972,128.4419,Jan 1971,Nov 2017,39.5,83,  N
2008,FLORA VALLEY OLD,-18.3167,128,Apr 1899,Oct 1975,63.8,83,  N
9056,FLOREAT PARK,-31.9494,115.7928,Mar 1962,Dec 2005,43.1,98,  Y
2045,FOAL CREEK,-17.3167,127.7,Jan 1970,Mar 1970,0.3,100,  N
10909,FOLLANS,-32.6756,116.7789,Apr 1996,Sep 2012,16.4,99,  N
9981,FOREST EDGE,-32.8392,115.9533,Jun 2002,May 2010,8,98,  N
9547,FOREST GROVE,-34.0744,115.0808,Dec 1925,Oct 2017,90.6,98,  N
11052,FORREST,-30.8453,128.1092,Jun 1994,Nov 2017,23.5,95,  Y
11004,FORREST AERO,-30.8389,128.1139,Aug 1930,Mar 1995,58,90,  N
11005,FORREST RAILWAY,-30.85,128.1,Jan 1918,Apr 1954,36.3,100,  N
11037,FORREST ROAD,-31.445,127.945,Apr 1966,Apr 1978,2.3,17,  N
12188,FORRESTANIA CROSSROAD,-32.41,119.7467,Sep 1959,Mar 1968,5.8,46,  N
12189,FORRESTANIA CROSSROADS,-32.4217,119.5217,Sep 1959,Mar 1968,5.6,45,  N
9016,FORRESTDALE,-32.15,115.9,Jan 1907,Feb 1947,35.3,88,  N
9257,FORRESTDALE,-32.15,115.9486,Feb 1986,Oct 2017,31.4,99,  N
10034,FORT HILL,-31.7272,118.2931,Mar 1912,Oct 2017,104.2,98,  N
5044,FORTESCUE,-21.0583,116.1111,Sep 1887,Jun 1927,30.5,76,  N
5086,FORTESCUE ROAD HOUSE,-21.2947,116.1383,Jan 1992,May 2008,13.8,84,  N
3027,FOSSIL DOWNS,-18.1386,125.7764,Jul 1904,Nov 2017,103.8,91,  N
7026,FOUR CORNERS,-26.45,118.2,Jan 1920,Dec 1973,51.9,96,  N
2062,FOX RIVER,-18.4233,128.0308,Sep 1975,Feb 2011,31.9,88,  N
9635,FRANKLAND,-34.3633,117.0836,Jan 1930,Nov 2017,42.8,47,  N
9641,FRANKLAND (THREE PINES),-34.3,117.1,Jan 1937,May 1940,3.4,100,  N
9843,FRANKLAND VINEYARDS,-34.4417,116.9944,Dec 1975,Sep 2017,41.8,90,  N
12029,FRASER RANGE,-32.0339,122.8017,Mar 1901,Nov 2017,93.6,80,  N
3029,FRAZIER DOWNS,-18.7983,121.7125,Nov 1910,Jan 1978,42.5,63,  N
9192,FREMANTLE,-32.0533,115.7647,Mar 1983,Oct 2017,29.4,76,  N
9017,FREMANTLE,-32.055,115.75,Dec 1852,Dec 1989,74.6,54,  N
9084,FREMANTLE NORTH,-32.05,115.75,Sep 1913,Sep 1919,6.1,100,  N
9083,FREMANTLE OVAL,-32.05,115.75,Aug 1908,Oct 1927,19.2,100,  N
9974,FRENCHMAN BAY,-35.0955,117.9615,Apr 1998,Jan 2012,12.8,77,  N
10053,FRIARS WELL,-31.7233,118.4372,Nov 1913,Oct 2017,85.4,82,  N
7202,GABANINTHA,-26.9183,118.6406,Nov 1899,Apr 1990,14.6,16,  N
10055,GABBIN,-30.7997,117.6806,Jun 1915,Nov 2017,77.1,73,  N
10142,GABBIN NORTH,-30.645,117.6833,Sep 1924,Nov 1996,68.7,95,  N
7027,GABYON,-28.2494,116.34,Mar 1888,Sep 2017,114.1,88,  N
10736,GAINSBOROUGH,-33.3,117.3,Jan 1907,Oct 1919,12.7,99,  N
10792,GAIRDNER,-34.2264,118.9369,Jan 1963,Nov 2017,54.7,99,  N
7175,GARDEN GULLY,-26.4667,118.4667,Nov 1914,Dec 1917,3.2,100,  N
9197,GARDEN ISLAND,-32.23,115.6844,Aug 1983,Mar 1999,11.6,60,  N
9256,GARDEN ISLAND HSF,-32.2433,115.6839,Nov 2001,Nov 2017,16.1,98,  Y
6022,GASCOYNE JUNCTION,-25.0544,115.21,Apr 1907,May 2017,105.3,94,  N
12030,GATHERER,-31.4,119.4,Jul 1947,Jan 1948,0.6,99,  N
12313,GEERANING,-30.6014,118.5228,May 1993,Dec 2011,18.7,99,  N
10864,GEETABIN,-32.6,117.9333,Sep 1914,Nov 1917,3.3,100,  N
8049,GEORGINA,-28.8833,114.75,Mar 1933,Apr 1951,10.5,58,  N
9823,GEOVON,-33.6833,122.5,Jan 1972,May 1978,2.8,44,  N
8315,GERALDTON AIRPORT,-28.8047,114.6989,Jul 2011,Nov 2017,6.4,97,  Y
8051,GERALDTON AIRPORT COMPARISON,-28.7953,114.6975,Sep 1941,Jun 2014,71.8,98,  Y
8050,GERALDTON TOWN,-28.7769,114.605,Jan 1877,Nov 2017,95.2,66,  N
12203,GHOOLI,-31.255,119.4544,Jun 1952,Oct 1990,27.2,70,  N
8288,GHURKA,-28.2575,114.6033,Jan 1972,Jul 2017,45.3,99,  N
2009,GIBB RIVER,-16.4203,126.4411,Jan 1922,Nov 2017,90.2,92,  N
10881,GIBB ROCK,-32.1336,119.0261,Oct 1978,Nov 2017,36.2,90,  N
12144,GIBB ROCK,-32.1,119.2,Jun 1929,Aug 1935,6.3,100,  N
9703,GIBSONS SOAK,-33.6,121.8,Mar 1898,Sep 1915,8.1,46,  N
12031,GIDGEE BIRRIGRIN,-27.5058,119.515,Nov 1906,Mar 1953,38.1,82,  N
12110,GIDGEE GOLD MINE,-27.2533,119.4075,Apr 1953,Dec 2002,41.9,84,  N
9066,GIDGEGANNUP,-31.7906,116.1976,Jan 1957,Aug 2017,57.7,93,  N
9062,GIDGEGANNUP 1,-31.7833,116.2167,Jan 1948,Sep 1975,22.4,80,  N
9267,GIDGEGANNUP NORTH,-31.7008,116.1847,Feb 2007,May 2015,8.3,90,  N
10302,GIDGIE SPRINGS,-31.6681,116.2731,Jan 1987,Jan 2007,17.8,87,  N
10105,GILAVIN,-30.6297,117.3675,Jan 1925,Aug 2011,75.7,87,  N
13017,GILES METEOROLOGICAL OFFICE,-25.0341,128.301,Aug 1956,Nov 2017,61.3,100,  Y
12222,GILGAI,-31.25,119.95,Nov 1925,Oct 1969,6.7,15,  N
12105,GILGAI FARM,-33.1833,121.65,Jun 1946,Jun 1974,27.8,99,  N
10737,GILLIMINNING,-32.7,117.4,Feb 1903,Sep 1919,10.9,65,  N
9218,GILLINGARRA,-30.9311,116.0417,Feb 1991,May 1998,0.6,8,  N
8228,GIMLET HILL,-30.5939,116.5378,Mar 1966,Dec 1990,18.2,73,  N
12245,GIN ROCKS,-29.7,121.7,May 1928,Jul 1932,3.6,84,  N
12247,GINDALBIE,-30.2819,121.7606,Jan 1918,Dec 2016,96,60,  N
10553,GINGARING,-32.4333,117.4,Jun 1914,Jul 1952,38,99,  N
9018,GINGIN,-31.3461,115.9031,Feb 1891,Nov 2017,111.3,84,  N
9178,GINGIN AERO,-31.4628,115.8642,May 1996,Nov 2017,21.6,97,  Y
9085,GINGIN BROOK,-31.3,115.6,Jan 1920,Dec 1925,6,100,  N
9123,GINGIN FORESTRY 2,-31.3786,115.7861,Nov 1972,Feb 1975,0.5,21,  N
9124,GINGIN FORESTRY 3,-31.4531,115.8058,Feb 1969,Feb 1975,0.9,15,  N
7212,GINGINJIBBY,-24.6141,117.653,Jul 2017,Nov 2017,0.4,92,  N
10738,GINGINNING,-32.7,117.7,Apr 1909,Dec 1919,10.3,96,  N
5045,GIRALIA,-22.685,114.3672,Jan 1913,Dec 2011,74.8,75,  N
12271,GLADIATOR G.M.,-28.1167,122.3333,Jan 1897,Dec 1899,0.8,25,  N
10084,GLAMOFF,-30.1056,117.3597,Aug 1959,Sep 2017,57.8,99,  N
10187,GLEN ERIN,-31.9,118.25,Aug 1913,Dec 1923,10.4,100,  N
10740,GLEN ERNE,-32.55,116.9,Jan 1907,Jul 1918,6.8,58,  N
5036,GLEN FLORRIE STATION,-22.9367,115.9825,Sep 1921,Mar 2017,69,72,  N
9051,GLEN FORREST,-31.9211,116.0908,Oct 1950,Jun 1996,35.9,78,  N
2004,GLEN HILL,-16.5833,128.3667,Jul 1962,Aug 1964,2,92,  N
9780,GLEN ISTLE,-34.3842,116.1025,Jul 1968,Dec 1984,16.5,99,  N
9548,GLEN IVOR,-33.6167,116,Sep 1951,Feb 1968,9.5,58,  N
10554,GLEN LOSSIE,-33.8167,117.1667,May 1949,Jun 1965,16.2,100,  N
9705,GLEN MERVYN,-33.5203,116.0742,Feb 1903,Jul 2002,62.4,62,  N
10741,GLEN ORA,-32.6,117.4,May 1908,Dec 1937,29,98,  N
7193,GLEN STATION,-27.0497,117.65,Jan 1982,Sep 2017,35.5,99,  N
10794,GLEN VALE,-33.15,118.0167,Mar 1890,Jan 1892,0.3,17,  N
9550,GLEN WARREN,-34.4189,116.2086,Jan 1925,Nov 2003,78.1,97,  N
13002,GLEN-AYLE,-25.2661,122.0433,Mar 1950,Oct 2017,67.4,99,  N
10289,GLENAVON,-31.7364,117.415,Jul 1976,Dec 2011,35.5,100,  N
9646,GLENBOURNE,-33.9,115,Jan 1949,Aug 1963,13.7,93,  N
7029,GLENBURGH,-25.4333,116.1167,Jan 1908,Dec 1948,24.5,60,  N
9704,GLENCOE,-34.1,116.9833,Mar 1919,Dec 1936,17.8,100,  N
10739,GLENCOVE,-33.5,117.6,Jan 1899,Jul 1929,22.5,74,  N
9019,GLENEAGLE,-32.2833,116.1833,Feb 1938,May 1968,29.3,95,  N
9132,GLENEAGLE PLUVIO,-32.2833,116.1833,Jan 1974,Oct 1974,0.7,56,  N
8052,GLENEVA,-28.17,114.7614,May 1919,Nov 2017,89.3,90,  N
8016,GLENFERRIE,-30.445,117.0406,Sep 1913,Jul 2017,102.7,98,  N
9906,GLENGARREN,-34.1378,116.2333,Jan 1973,Jul 2017,43.7,90,  N
12217,GLENGILLY,-31.5333,119.1,Jan 1968,Apr 1974,6.3,99,  N
9821,GLENGOWAN,-33.8,122.6667,Apr 1972,Feb 1973,0.8,81,  N
10823,GLENMORE,-32.2344,117.6444,Sep 1969,Sep 2017,47.5,98,  N
8053,GLENMORE,-30.75,116.7,Jan 1912,Jan 1948,34.4,95,  N
9963,GLENMORE,-33.6858,115.0153,Jan 1965,Jun 2015,44.4,65,  N
9549,GLENORAN,-34.3,115.9833,Jun 1935,Sep 1950,15,98,  N
9856,GLENORCHY,-33.7,116.7,Jan 1903,Dec 1944,36,85,  N
12032,GLENORN,-29.0869,121.6753,Jan 1922,Dec 2003,69.3,84,  N
9706,GLENPENNENT,-34.3,116.3,Aug 1918,Sep 1944,17.7,67,  N
10087,GLENROE,-31.9667,116.8667,Dec 1956,Mar 1958,0.5,38,  N
10831,GLENROSE,-33.4836,117.61,Dec 1953,Oct 2017,15.6,24,  N
2042,GLENROY,-17.3594,126.1086,Feb 1932,Jun 1993,24.7,40,  N
9222,GLENROYD,-31.7422,116.2144,Dec 1991,Apr 2005,13.4,98,  N
8054,GLENVAR,-30.7989,116.8936,Jun 1937,Jan 2014,38.3,50,  N
9707,GLENWOOD,-33.2,116.4,Apr 1926,Apr 1938,10.8,89,  N
10890,GNAMMA,-33.6467,120.4319,Feb 1983,Mar 2004,21.2,99,  N
9119,GNANGARA,-31.7758,115.9433,Mar 1950,Nov 1989,13.8,34,  N
9262,GNANGARA PARK,-31.6439,115.8281,Mar 2004,Jun 2004,0.3,11,  N
6023,GNARALOO,-23.8222,113.5256,Jan 1912,Sep 2017,93.6,88,  N
6109,GNARALOO - 3 MILE CAMP,-23.8761,113.4972,Jul 2010,Aug 2017,2.8,39,  N
10557,GNARMING,-32.6,118.3,May 1912,Feb 1951,38.8,100,  N
10822,GNARMING 2,-32.6,118.2,Jan 1943,Apr 1946,3.1,92,  N
10523,GNOWANALLUP,-33.5833,118.2333,Aug 1921,Oct 1977,51.8,92,  N
10558,GNOWANGERUP,-33.9372,118.0075,Jan 1913,Nov 2017,104.7,96,  N
8180,GNOWELLAN,-30.65,117.1078,Jul 1957,Dec 1995,36.2,94,  N
7173,GNOWS NEST,-28.5833,116.8667,Aug 1923,Aug 1927,4.1,100,  N
3014,GOGO STATION,-18.2914,125.5869,Dec 1908,Jan 2016,100.2,92,  N
12251,GOLDEN DOWNS,-28,123.45,May 1929,Sep 1930,1.4,100,  N
7174,GOLDEN GROVE,-28.7,116.9333,May 1907,Dec 1910,3.7,100,  N
10880,GOLDEN PARK,-34.3131,118.9894,Apr 1975,Jun 2009,33.8,98,  N
12224,GOLDEN RIDGE,-30.8483,121.655,Jan 1915,Mar 1978,11.2,18,  N
12231,GOLDEN VALLEY,-30.8667,119.0333,Jan 1920,Dec 1920,1,100,  N
4074,GOLDSWORTHY,-20.3422,119.5206,Oct 1966,May 1992,25.7,100,  N
10026,GOODLANDS,-30.0606,117.1417,Sep 1951,Nov 2017,66.3,100,  N
10057,GOODLANDS 2,-30.1,117.1,Aug 1921,May 1951,29.7,99,  N
10058,GOOMALLING,-31.2994,116.8269,Jan 1889,Nov 2017,108.1,82,  N
10059,GOOMARIN,-31.2347,118.4208,Jan 1948,Oct 1984,36.8,100,  N
6024,GOOMBARDIE,-24.6667,114.35,Jan 1929,Nov 1954,22.9,88,  N
10188,GOOMEARIN EAST,-31.2,118.5,Feb 1927,Feb 1944,15.3,90,  N
12145,GOONGARRIE,-30.05,121.15,Apr 1896,Oct 1926,21.2,69,  N
9226,GOORALONG ORCHARD,-32.2667,116.0833,Jun 1972,Sep 1982,9.3,89,  N
2010,GORDON DOWNS,-18.7506,128.5842,Nov 1919,Jul 1997,65.2,83,  N
9745,GORDON RIVER,-34.2492,117.2444,Mar 2000,Oct 2014,13.3,83,  N
9740,GORDON RIVER,-34.2358,117.1869,Feb 1961,Jun 2011,47.8,94,  N
10847,GORDON VALE,-32.1167,118.4,Sep 1914,Apr 1919,3.2,68,  N
10559,GORGE ROCK,-32.5,118,Jun 1929,Nov 1948,10.8,55,  N
12028,GORYA VALLEY,-33.0372,121.6644,Jul 1931,May 2017,77.8,90,  N
9048,GOSNELLS,-32.1,116,Nov 1940,Dec 1949,8,87,  N
9049,GOSNELLS 2,-32.0783,116.0017,Jan 1950,Aug 1981,29.8,94,  N
9106,GOSNELLS CITY,-32.0481,115.9844,Apr 1961,Nov 2017,56.1,94,  N
8055,GOWRIE,-30.3,116.8,Jan 1912,May 1948,35.5,97,  N
10060,GRABALL,-31.9889,118.5106,Mar 1912,Jan 2016,101.1,97,  N
10560,GRAHAM ROCK,-32.5403,119.1122,Jan 1934,Nov 2017,83.9,99,  N
13032,GRANITE PEAK,-25.6361,121.3533,Nov 1980,Apr 2017,35.6,95,  N
12033,GRASS PATCH,-33.2256,121.7375,Jan 1906,Feb 2009,96.4,93,  N
12146,GRASS PATCH EAST,-33.25,121.8167,Jun 1929,Nov 1935,6.5,99,  N
10150,GRASS VALLEY,-31.6358,116.7969,Feb 1891,Oct 2017,109.6,86,  N
9551,GRASSMERE,-35.0151,117.7577,Jan 1907,Oct 2016,109.3,98,  N
8057,GREEN GROVE,-29.5486,115.0689,Apr 1951,Oct 2017,64,96,  N
10165,GREEN HILLS,-31.9408,116.9839,Apr 1956,Dec 2013,57.8,99,  N
9552,GREENBUSHES,-33.8564,116.055,Feb 1896,Nov 2017,110.3,86,  N
9708,GREENFIELDS,-33.9,116.35,Feb 1903,Oct 1909,2.8,41,  N
10745,GREENLANDS,-32.2,117.75,Dec 1924,Feb 1936,10,89,  N
9020,GREENMOUNT,-31.9,116.0567,Jul 1928,Sep 1990,40.6,65,  N
8058,GREENOUGH,-29,114.8,Jan 1882,Jan 1971,68.3,76,  N
10189,GREENS FARM,-31.1,117.5,Feb 1912,Jun 1919,7.3,99,  N
9869,GREENSLOPES,-32.7667,116.5833,Jul 1935,Sep 1938,3.3,99,  N
